FAVC,FCVC,NCP,CAEC,CH2O,NObeyesdad
no,3,3,Always,2,Normal_Weight
no,2,3,Sometimes,2,Overweight_Level_II
yes,2,1,Sometimes,2,Overweight_Level_I
yes,2,3,Frequently,1,Overweight_Level_II
yes,2,1,Sometimes,2,Overweight_Level_II
yes,2,3,Frequently,2,Normal_Weight
no,3,1,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Normal_Weight
yes,2,1,no,3,Overweight_Level_I
yes,2,3,Sometimes,2,Normal_Weight
yes,3,1,Always,1,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,2,1,no,3,Overweight_Level_I
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,3,3,Frequently,2,Insufficient_Weight
yes,2,1,Sometimes,1,Overweight_Level_II
yes,2,1,no,3,Overweight_Level_I
no,3,3,Sometimes,2,Overweight_Level_I
no,2,3,Sometimes,3,Obesity_Type_I
no,2,3,Sometimes,3,Obesity_Type_I
yes,3,1,no,3,Obesity_Type_I
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,1,Frequently,2,Overweight_Level_I
no,3,3,Sometimes,3,Overweight_Level_I
no,2,1,Frequently,3,Normal_Weight
yes,3,3,Frequently,3,Obesity_Type_I
yes,3,3,Sometimes,2,Overweight_Level_I
no,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Obesity_Type_II
yes,2,1,Frequently,1,Insufficient_Weight
yes,2,1,Sometimes,1,Normal_Weight
no,3,1,Sometimes,3,Obesity_Type_I
yes,2,3,Always,1,Obesity_Type_I
yes,3,3,Sometimes,1,Obesity_Type_III
no,2,3,Sometimes,3,Obesity_Type_I
yes,2,3,Sometimes,2,Normal_Weight
yes,2,1,Sometimes,2,Obesity_Type_I
yes,2,3,Frequently,2,Obesity_Type_I
no,2,3,no,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,2,Obesity_Type_II
yes,2,1,Sometimes,1,Normal_Weight
no,2,1,Sometimes,2,Overweight_Level_II
yes,3,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,3,Normal_Weight
no,3,3,Frequently,2,Normal_Weight
no,2,3,Frequently,3,Overweight_Level_I
no,1,1,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,3,Overweight_Level_I
no,2,3,Frequently,2,Overweight_Level_I
yes,2,1,Sometimes,1,Overweight_Level_II
yes,3,4,Always,3,Normal_Weight
yes,3,3,Frequently,3,Normal_Weight
yes,2,1,Sometimes,2,Obesity_Type_I
no,3,3,Sometimes,3,Obesity_Type_II
yes,2,3,Sometimes,1,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,3,Overweight_Level_II
no,3,3,Sometimes,3,Obesity_Type_II
yes,3,4,Sometimes,3,Overweight_Level_I
yes,3,1,Sometimes,3,Normal_Weight
no,3,3,Sometimes,3,Normal_Weight
no,3,1,Sometimes,2,Overweight_Level_II
yes,2,1,no,2,Normal_Weight
no,2,1,no,2,Normal_Weight
yes,1,3,Always,2,Normal_Weight
yes,3,3,Sometimes,1,Normal_Weight
yes,3,1,Sometimes,3,Normal_Weight
yes,3,3,no,3,Normal_Weight
yes,2,1,Sometimes,3,Normal_Weight
yes,3,3,Sometimes,2,Overweight_Level_I
yes,1,3,Always,2,Normal_Weight
yes,2,3,Sometimes,3,Overweight_Level_II
no,2,1,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Insufficient_Weight
yes,3,3,Sometimes,3,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,3,3,Always,3,Normal_Weight
yes,3,1,Sometimes,2,Overweight_Level_I
yes,3,1,Sometimes,2,Overweight_Level_II
no,2,1,Sometimes,3,Overweight_Level_II
no,2,3,Sometimes,2,Overweight_Level_II
yes,2,1,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Normal_Weight
no,1,3,Sometimes,2,Overweight_Level_I
no,2,3,Sometimes,3,Overweight_Level_II
no,2,3,Sometimes,3,Obesity_Type_I
no,3,1,Sometimes,1,Overweight_Level_II
yes,1,3,Frequently,1,Obesity_Type_I
yes,2,3,Sometimes,1,Overweight_Level_I
no,2,3,Frequently,2,Overweight_Level_I
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,1,Insufficient_Weight
yes,3,3,Frequently,3,Normal_Weight
yes,1,3,Frequently,1,Insufficient_Weight
yes,3,4,Frequently,2,Insufficient_Weight
yes,3,3,Frequently,2,Overweight_Level_II
no,2,4,Always,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,3,Obesity_Type_I
yes,2,3,Frequently,1,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
no,2,3,Sometimes,1,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,2,1,Frequently,3,Insufficient_Weight
yes,2,4,Always,3,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Insufficient_Weight
yes,3,4,Frequently,2,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
no,2,3,Sometimes,3,Normal_Weight
yes,1,1,Sometimes,2,Normal_Weight
yes,2,3,Always,1,Obesity_Type_I
yes,2,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,3,Normal_Weight
yes,3,3,Sometimes,1,Normal_Weight
no,2,3,Sometimes,3,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
yes,2,3,Frequently,2,Insufficient_Weight
yes,2,3,Frequently,1,Normal_Weight
no,2,3,Frequently,2,Normal_Weight
yes,2,1,Sometimes,2,Obesity_Type_I
no,2,1,Sometimes,1,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Frequently,1,Normal_Weight
yes,3,3,Sometimes,3,Overweight_Level_I
yes,2,3,Sometimes,1,Normal_Weight
yes,2,4,Sometimes,2,Normal_Weight
yes,3,3,Always,3,Insufficient_Weight
yes,2,4,Always,2,Normal_Weight
no,2,3,Sometimes,3,Overweight_Level_I
yes,2,3,Sometimes,2,Obesity_Type_II
yes,1,3,Always,2,Normal_Weight
yes,2,1,Frequently,1,Normal_Weight
yes,3,4,Always,3,Normal_Weight
no,2,1,Sometimes,1,Normal_Weight
yes,2,4,Frequently,2,Insufficient_Weight
yes,2,3,Always,2,Normal_Weight
yes,3,3,Sometimes,1,Normal_Weight
yes,1,3,Always,2,Normal_Weight
yes,3,3,Sometimes,1,Normal_Weight
yes,2,3,Always,2,Normal_Weight
no,3,3,Frequently,1,Normal_Weight
yes,3,4,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,2,3,Sometimes,1,Overweight_Level_I
yes,3,1,Always,2,Normal_Weight
no,3,3,Frequently,1,Normal_Weight
no,3,3,Frequently,2,Insufficient_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,1,Overweight_Level_I
yes,2,1,Sometimes,1,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,3,4,Frequently,1,Overweight_Level_I
no,3,1,Sometimes,3,Normal_Weight
yes,3,3,Sometimes,1,Obesity_Type_I
yes,3,4,Frequently,1,Insufficient_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,1,Sometimes,2,Normal_Weight
no,3,4,Always,3,Normal_Weight
yes,2,3,Frequently,2,Overweight_Level_I
yes,1,4,Frequently,1,Insufficient_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,3,1,Sometimes,2,Overweight_Level_I
no,2,3,Sometimes,1,Insufficient_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,2,3,Sometimes,1,Normal_Weight
yes,3,3,Sometimes,2,Obesity_Type_I
no,3,3,Sometimes,2,Normal_Weight
yes,3,3,Frequently,2,Obesity_Type_III
yes,3,3,Always,2,Normal_Weight
no,3,3,Always,1,Normal_Weight
yes,2,3,Sometimes,3,Overweight_Level_II
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Always,3,Obesity_Type_I
no,2,3,Sometimes,1,Normal_Weight
no,3,4,Always,2,Normal_Weight
yes,1,3,Sometimes,1,Normal_Weight
yes,1,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,3,1,Sometimes,1,Overweight_Level_I
no,3,3,Sometimes,2,Insufficient_Weight
yes,1,3,Sometimes,1,Normal_Weight
no,2,1,Sometimes,1,Obesity_Type_II
no,2,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,2,1,Sometimes,2,Obesity_Type_I
no,3,3,Sometimes,2,Overweight_Level_I
yes,2,1,Sometimes,2,Normal_Weight
yes,2,1,Always,2,Overweight_Level_I
yes,3,3,Sometimes,2,Normal_Weight
yes,2,1,Sometimes,2,Overweight_Level_II
yes,2,3,Frequently,2,Overweight_Level_I
yes,2,1,Sometimes,2,Overweight_Level_II
no,3,3,Frequently,2,Overweight_Level_II
yes,2,3,Sometimes,1,Normal_Weight
yes,3,1,Always,2,Overweight_Level_I
yes,3,3,Sometimes,1,Normal_Weight
yes,2,1,Sometimes,2,Normal_Weight
yes,2,4,Frequently,2,Normal_Weight
yes,2,1,Frequently,3,Overweight_Level_II
no,3,3,Sometimes,1,Normal_Weight
no,2,4,Frequently,2,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,3,Overweight_Level_II
yes,3,3,Frequently,1,Normal_Weight
no,2,3,Frequently,1,Normal_Weight
no,2,3,Sometimes,2,Obesity_Type_I
yes,3,1,Sometimes,1,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
no,1,3,Sometimes,1,Normal_Weight
yes,2,3,Frequently,1,Obesity_Type_I
no,2,3,Sometimes,3,Obesity_Type_I
yes,1,1,Sometimes,2,Overweight_Level_I
yes,2,3,Always,3,Insufficient_Weight
no,2,3,Sometimes,2,Insufficient_Weight
no,3,3,Frequently,3,Normal_Weight
yes,1,3,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,1,Normal_Weight
yes,1,3,Sometimes,2,Insufficient_Weight
no,3,3,Sometimes,1,Normal_Weight
yes,2,4,Frequently,3,Normal_Weight
yes,3,1,Always,1,Obesity_Type_II
no,3,1,Frequently,1,Normal_Weight
no,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Always,2,Normal_Weight
yes,3,1,Frequently,2,Overweight_Level_II
no,3,3,Sometimes,3,Obesity_Type_III
yes,2,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Overweight_Level_II
no,2,3,Sometimes,2,Normal_Weight
yes,3,3,Frequently,1,Overweight_Level_I
no,3,1,Sometimes,2,Normal_Weight
yes,3,1,Sometimes,3,Normal_Weight
no,2,3,Sometimes,2,Normal_Weight
no,3,3,Sometimes,2,Overweight_Level_I
yes,2,3,Frequently,2,Normal_Weight
no,2,3,Sometimes,2,Overweight_Level_II
yes,2,1,Always,2,Obesity_Type_I
yes,3,3,Sometimes,3,Normal_Weight
yes,3,3,Sometimes,1,Overweight_Level_I
yes,3,3,Sometimes,2,Overweight_Level_II
yes,3,3,Sometimes,2,Obesity_Type_I
yes,1,3,Sometimes,1,Obesity_Type_I
yes,3,4,Sometimes,2,Insufficient_Weight
yes,3,4,Sometimes,2,Insufficient_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,1,Overweight_Level_II
no,2,3,Sometimes,1,Overweight_Level_I
yes,2,3,Always,2,Normal_Weight
no,2,3,Sometimes,3,Normal_Weight
yes,3,3,no,2,Normal_Weight
yes,3,1,Frequently,1,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,2,3,Sometimes,1,Obesity_Type_I
yes,2,4,Frequently,2,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,2,4,Frequently,2,Normal_Weight
yes,2,1,Sometimes,3,Overweight_Level_I
yes,2,3,Sometimes,1,Normal_Weight
yes,2,1,Always,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,2,3,Frequently,2,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
yes,2,3,Sometimes,2,Insufficient_Weight
yes,2,1,Sometimes,2,Normal_Weight
yes,2,4,Sometimes,1,Normal_Weight
yes,3,3,Frequently,2,Normal_Weight
yes,2,4,Sometimes,2,Overweight_Level_I
yes,3,1,Sometimes,1,Obesity_Type_II
yes,1,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
no,2,3,Frequently,2,Normal_Weight
no,3,3,no,2,Normal_Weight
yes,3,3,Sometimes,1,Normal_Weight
yes,3,1,Sometimes,1,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,3,1,Frequently,2,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,2,3,Always,1,Normal_Weight
yes,2,3,Frequently,3,Overweight_Level_I
yes,2,3,Frequently,1,Normal_Weight
yes,2,1,Sometimes,2,Obesity_Type_I
yes,2,1,Always,2,Overweight_Level_II
no,2,3,Sometimes,1,Normal_Weight
no,3,4,Always,2,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,3,3,Frequently,1,Normal_Weight
yes,3,3,Frequently,1,Insufficient_Weight
yes,3,1,Sometimes,2,Insufficient_Weight
yes,2,3,Frequently,2,Normal_Weight
yes,2,3,Sometimes,2,Obesity_Type_I
no,3,4,Frequently,2,Overweight_Level_II
yes,1,3,Frequently,1,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
no,2,1,Sometimes,1,Overweight_Level_I
yes,3,3,Sometimes,2,Overweight_Level_I
yes,3,3,Frequently,1,Normal_Weight
yes,2,3,Frequently,1,Normal_Weight
yes,1,4,Frequently,2,Normal_Weight
yes,2,3,Sometimes,1,Normal_Weight
yes,3,4,Sometimes,1,Normal_Weight
yes,2,1,Frequently,2,Normal_Weight
yes,2,3,Sometimes,1,Overweight_Level_I
yes,2,3,Sometimes,1,Overweight_Level_II
yes,1,3,Always,2,Normal_Weight
yes,2,3,Sometimes,2,Normal_Weight
no,2,3,Sometimes,3,Obesity_Type_I
yes,3,3,Sometimes,3,Normal_Weight
yes,2,1,Sometimes,1,Normal_Weight
yes,3,3,no,2,Overweight_Level_II
yes,2,3,Sometimes,1,Normal_Weight
yes,3,3,Frequently,1,Overweight_Level_II
yes,2,3,Frequently,1,Normal_Weight
yes,3,3,Sometimes,2,Normal_Weight
yes,3,1,Always,1,Normal_Weight
yes,2,3,Sometimes,2,Insufficient_Weight
no,2,3,Sometimes,2,Normal_Weight
yes,3,3,Sometimes,1.152736,Obesity_Type_III
yes,3,3,Sometimes,1.115967,Obesity_Type_III
yes,3,3,Sometimes,2.704507,Obesity_Type_III
yes,3,3,Sometimes,2.184707,Obesity_Type_III
yes,3,3,Sometimes,2.406541,Obesity_Type_III
yes,3,3,Sometimes,2.984323,Obesity_Type_III
yes,3,3,Sometimes,2.444125,Obesity_Type_III
yes,3,3,Sometimes,2.654702,Obesity_Type_III
yes,3,3,Sometimes,2.825629,Obesity_Type_III
yes,2,3.28926,Sometimes,2.847264,Insufficient_Weight
yes,2,4,Sometimes,2.884033,Insufficient_Weight
yes,2.450218,3.995147,Sometimes,2.147746,Insufficient_Weight
yes,3,3,Frequently,2.815293,Insufficient_Weight
yes,3,3,Frequently,2.593459,Insufficient_Weight
yes,2.880161,3,Frequently,1.031354,Insufficient_Weight
no,3,1.72626,Frequently,2.444125,Insufficient_Weight
no,3,2.581015,Frequently,2.654702,Insufficient_Weight
no,3,1.600812,Frequently,2.651258,Insufficient_Weight
no,2.00876,1.73762,Frequently,1.792022,Insufficient_Weight
no,2.596579,1.10548,Frequently,1.490613,Insufficient_Weight
no,2.591439,3,Frequently,2.074048,Insufficient_Weight
yes,3,3,Sometimes,3,Insufficient_Weight
yes,3,2.0846,Sometimes,2.13755,Insufficient_Weight
yes,3,1.894384,Sometimes,2.456581,Insufficient_Weight
yes,2.392665,1,Frequently,1,Insufficient_Weight
yes,3,1,Frequently,1,Insufficient_Weight
yes,3,2.857787,Frequently,1,Insufficient_Weight
yes,3,1,Frequently,1.527036,Insufficient_Weight
yes,3,1,Frequently,1.322669,Insufficient_Weight
yes,3,1,Frequently,1,Insufficient_Weight
no,3,3.765526,Frequently,1.656082,Insufficient_Weight
no,3,3.285167,Frequently,1.569082,Insufficient_Weight
no,1.123939,4,Frequently,1,Insufficient_Weight
yes,3,3,Sometimes,2.843777,Insufficient_Weight
yes,3,3.691226,Sometimes,2.650989,Insufficient_Weight
yes,3,3,Sometimes,2.027984,Insufficient_Weight
yes,3,3,Frequently,2,Insufficient_Weight
yes,3,3.156153,Frequently,1.253803,Insufficient_Weight
yes,3,3,Frequently,2,Insufficient_Weight
yes,2,1.07976,Sometimes,1,Insufficient_Weight
yes,2.027574,1,Sometimes,1.636326,Insufficient_Weight
yes,2.658112,1,Sometimes,1.298165,Insufficient_Weight
no,2.88626,3.559841,Frequently,1.632004,Insufficient_Weight
no,2.714447,3,Frequently,2,Insufficient_Weight
no,2.750715,3,Frequently,2,Insufficient_Weight
yes,2,3,Frequently,2.099863,Insufficient_Weight
yes,2,3.891994,Frequently,1.86393,Insufficient_Weight
yes,2,3,Frequently,1.229915,Insufficient_Weight
yes,1.4925,3,Sometimes,1.049134,Insufficient_Weight
yes,1,3.240578,Sometimes,1,Insufficient_Weight
yes,2.205439,3,Sometimes,1.530531,Insufficient_Weight
yes,2.059138,3.904858,Frequently,2,Insufficient_Weight
yes,3,3.11158,Frequently,2.721769,Insufficient_Weight
yes,3,3.590039,Frequently,2.7305,Insufficient_Weight
yes,2,2.057935,Sometimes,2.371015,Insufficient_Weight
yes,2.310423,3.558637,Sometimes,1.787843,Insufficient_Weight
yes,2,2.000986,Sometimes,2.673835,Insufficient_Weight
yes,2.823179,3,Sometimes,1.773236,Insufficient_Weight
yes,2.052932,3,Sometimes,2,Insufficient_Weight
yes,2.596364,3,Sometimes,2,Insufficient_Weight
yes,2.767731,3.821168,Sometimes,2,Insufficient_Weight
yes,2,3.897078,Sometimes,2.622638,Insufficient_Weight
yes,2,3.092116,Sometimes,2.426465,Insufficient_Weight
yes,2.815157,3,Sometimes,2.911187,Insufficient_Weight
yes,2.737762,3,Sometimes,2.310921,Insufficient_Weight
yes,3,3.286431,Sometimes,2.148146,Insufficient_Weight
yes,2.568063,4,Sometimes,2,Insufficient_Weight
yes,2.524428,4,Sometimes,2,Insufficient_Weight
yes,2,4,Sometimes,2.157395,Insufficient_Weight
yes,3,3,Frequently,2,Insufficient_Weight
yes,2.971574,3.592415,Frequently,2.894678,Insufficient_Weight
yes,3,3,Frequently,2.025279,Insufficient_Weight
yes,3,3.754599,Sometimes,1.692112,Insufficient_Weight
yes,3,3.566082,Sometimes,1.438398,Insufficient_Weight
yes,3,3.725797,Sometimes,1.191401,Insufficient_Weight
yes,1.0816,3.520555,Frequently,1.016968,Insufficient_Weight
yes,1.270448,3.731212,Frequently,1.876915,Insufficient_Weight
yes,1.344854,4,Frequently,1,Insufficient_Weight
no,2.959658,3,Frequently,1,Insufficient_Weight
no,2.725282,1.259803,Frequently,1,Insufficient_Weight
no,2.844607,1.273128,Frequently,1.69551,Insufficient_Weight
yes,2.44004,3,Sometimes,2,Insufficient_Weight
yes,2.432302,3,Sometimes,2,Insufficient_Weight
yes,2.592247,3.304123,Sometimes,2.036764,Insufficient_Weight
yes,2.449267,3.647154,Frequently,1.266018,Insufficient_Weight
yes,2.929889,3,Frequently,2.792074,Insufficient_Weight
yes,2,3,Frequently,1.426874,Insufficient_Weight
yes,2.015258,3.300666,Sometimes,1.315608,Insufficient_Weight
